tweet,name,max_result,negative,neutral,positive,date,likes,author_follower,location,url,Fake,User Experience,Performance,Security
"everyone is making fun of DevinAi but if some one can imagine that then someone can make it too 

Now laugh",Jitender Singh,positive,0.04242534562945366,0.2853616774082184,0.6722130179405212,2024-04-16 03:18:08+00:00,6,239,,https://twitter.com/sharpsailor13/status/1780073160957997532,0,0,0,0
"Proof that Your JOB will be GONE soon☠️
#indiegame #ai #devinai #ChatGPT4 #GPT #PortfolioDay #AIArtwork https://t.co/0qUMWhqUBG",Ajesh Nair,neutral,0.08472376316785812,0.7543423771858215,0.16093386709690094,2024-04-09 13:43:12+00:00,3,801,,https://twitter.com/AjeshNair101/status/1777693750158069903,0,0,0,0
At  St John’s  @LambethLabour today where Claire Holland & @LabourMarina introduced @SadiqKhan as he launched his pledge to end rough sleeping in London by 2030. A pledge only possible with a @LondonLabour mayor and GLA with a @UKLabour government. 🌹 need your votes on 2nd May https://t.co/wf4qq276oe,Devina4Labour,neutral,0.04829493537545204,0.7534348368644714,0.19827023148536682,2024-04-15 16:54:33+00:00,10,46,,https://twitter.com/Devina4Labour/status/1779916230930948429,0,0,0,0
Elon Musk's decision to implement a fee for new X users highlights the ongoing struggle against bot activity. It's a proactive measure to uphold the quality of user interactions and content. #TwitterX https://t.co/2wXMVmvOmY,Devina Rao,positive,0.056981392204761505,0.2575366199016571,0.6854819655418396,2024-04-16 06:20:02+00:00,2,41,,https://twitter.com/rao_devina2012/status/1780118939114279354,0,0,0,0
Getting angry in tiny 😭😭🍊 https://t.co/TGs9MOKVnc,devina,negative,0.938289999961853,0.05335342884063721,0.008356636390089989,2024-04-12 00:24:18+00:00,186,9,,https://twitter.com/Foudroyant123/status/1778579862598668542,0,0,0,0
"How about you? 😄
#devinAI https://t.co/hRsdzM0Enf",Tony Manh,neutral,0.014616378583014011,0.9549217820167542,0.030461862683296204,2024-04-12 15:10:18+00:00,0,153,Japan,https://twitter.com/tonymanh_/status/1778802831807631840,0,0,0,0
"Was Devin AI just a hype?
#tech #itjob #devinAi #ai #SoftwareEngineer",Abhishek Rawat 🇮🇳,neutral,0.033760759979486465,0.9253519773483276,0.040887251496315,2024-04-14 18:03:56+00:00,6,236,,https://twitter.com/rawat_abhi33/status/1779571304196407806,0,0,0,0
"DEVINA NOVIRA

https://t.co/66BkH4I8Bp

https://t.co/OIMli2BYXA

https://t.co/oFG6sBAgyq

https://t.co/y2uvtTGSfI

https://t.co/VWvGSjX5o8

chat aku sayang
https://t.co/hJ0bd4r8Oq

Join Telegram 🌠
https://t.co/9FBKksxNK3

anime manga netflix music spotify sport EclipseSolar2024 https://t.co/CjJpOJ0ATm",SUSU TEGANG 💦,neutral,0.02681630849838257,0.8603435158729553,0.11284023523330688,2024-04-09 07:10:19+00:00,1132,45669,malaysia,https://twitter.com/KoleksiAsu/status/1777594877527670963,0,0,0,0
"Is Devin is fake??
#Ai  #devinai https://t.co/VNIkcihG7Y",Amit Yadav,neutral,0.07675854861736298,0.8913602232933044,0.03188122436404228,2024-04-14 16:14:15+00:00,2,13,India,https://twitter.com/Amit26674839/status/1779543699988623685,0,0,0,0
"So wha.. 😂

#devinai #SoftwareEngineer https://t.co/OI2zIedu9W",Alexcious_101 🧑‍💻,neutral,0.028714682906866074,0.912670373916626,0.05861493945121765,2024-04-16 04:58:47+00:00,0,86,,https://twitter.com/Alexcious_101/status/1780098489742963162,0,0,0,0
"Do you think that Devin Ai will replace software developers? 🤔 

#devinai #softwaredeveloper #softwaredevelopment https://t.co/VIBQG9ZX9S",Ricardo Mighty,neutral,0.04360254853963852,0.9038221836090088,0.05257522687315941,2024-04-13 08:00:38+00:00,1,294,,https://twitter.com/RicardoMighty/status/1779057091828719830,0,0,0,0
randomly hunting sunrise🥹🤌🏻 https://t.co/zNkWem0k1w,depina,neutral,0.029449226334691048,0.945329487323761,0.025221221148967743,2024-04-08 21:39:05+00:00,1,702,,https://twitter.com/devina_devvv/status/1777451122820817085,0,0,0,0
"EID AL-FITR MENU
Opor Ayam Kuning - Recipe | (with English subtitles)

Yellow chicken coconut soup. Opor ayam comes from Central Java. https://t.co/yNCVroo3cR
Suitable to eat w/ ketupat. https://t.co/hL926pU7sc

Just click Devina Hermawan's Youtube Channel
https://t.co/LsyPvTRyGR https://t.co/hTag9h801B",Chef 𝗔𝗥𝗘𝗟 𝗔𝗥𝗘𝗟𝗟𝗔,neutral,0.026782553642988205,0.6348196864128113,0.33839768171310425,2024-04-09 13:40:49+00:00,34,5488,,https://twitter.com/arel_arella/status/1777693149789651368,0,0,0,0
@saapuutrrri Kurang bg? https://t.co/y9YqrsxZGX,always be my sleffff,neutral,0.02144274301826954,0.9345662593841553,0.043990958482027054,2024-04-13 12:34:15+00:00,50,77,,https://twitter.com/AnggunDevina3/status/1779125949600342162,0,0,0,0
"Check out my LinkedIn post on Devin AI for deeper insights! 🚀 #DevinAI #AI #LinkedInPost

https://t.co/pGweOa4t78 https://t.co/bqFYP94cvg",bhaskar reddy,neutral,0.01255351584404707,0.8648855686187744,0.12256089597940445,2024-04-12 13:46:43+00:00,0,6,,https://twitter.com/ReddyCoder/status/1778781798190711263,0,0,0,0
I wanna say something but i fear i might jinx it😭😭,maxina,negative,0.8351951837539673,0.14818190038204193,0.016622956842184067,2024-04-16 06:18:39+00:00,0,201,India,https://twitter.com/DevinaMaxina/status/1780118588986425576,0,0,0,0
"Din ciclul"" 🇷🇺 ajuta ukrania 🇺🇦 sa devina carbon neutral""! Visul EU 🇪🇺Cinste lor! 
https://t.co/nMhAuRjdW1",In NATO We Trust!,neutral,0.059716396033763885,0.7783662676811218,0.16191726922988892,2024-04-11 21:32:18+00:00,10,267,,https://twitter.com/frei_76/status/1778536578358640951,0,0,0,0
